Data Center,Company,White space,Gross power
CBTS Grand Rapids Data Center,CBTS,-,-
CBTS Hamilton Data Center,CBTS,-,-
CBTS Lebanon Data Center,CBTS,-,-
CBTS Lombard Data Center,CBTS,-,-
CBTS Mason Data Center,CBTS,-,-
CBTS South Bend Data Center I,CBTS,-,-
CBTS South Bend Data Center II,CBTS,-,-
Bracknell,CentriLogic,-,-
Buffalo,CentriLogic,-,-
Lenoir,CentriLogic,-,-
Rochester,CentriLogic,-,-
US Virgin Islands,CentriLogic,-,-
1124 Hardy Rd,CenturyLink,-,-
1918 Wake Forest Rd,CenturyLink,230 m²,-
200 N. LaSalle,CenturyLink,-,-
300 Bent Street,CenturyLink,810 m²,-
Atlanta 1,CenturyLink,-,-
Atlanta 2,CenturyLink,4180 m²,-
Berry Hill (Melrose Ave),CenturyLink,-,-
Binghamton (Henry Street),CenturyLink,-,-
Birmingham (North 20th Street),CenturyLink,-,-
Boise (North Capitol),CenturyLink,-,-
Boise (West Airportway),CenturyLink,-,-
Cedar Hills (Millikan Way),CenturyLink,-,-
Chicago 1,CenturyLink,2110 m²,-
Chicago 2,CenturyLink,-,-
Cincinnati,CenturyLink,-,-
Cincinnati (Meridian Way),CenturyLink,-,-
Columbia (Main Street),CenturyLink,-,-
Columbus (Front Avenue),CenturyLink,-,-
Columbus 1,CenturyLink,-,-
Dallas,CenturyLink,-,-
Dallas (Regal Row),CenturyLink,-,-
Denver,CenturyLink,-,-
Denver (East Jewell Ave),CenturyLink,870 m²,-
Detroit,CenturyLink,-,-
Durham (Ellis Road),CenturyLink,-,-
Fort Lauderdale (NE 3rd Avenue),CenturyLink,-,-
Greensboro (Gallimore Dairy Road),CenturyLink,-,-
Honolulu (Paiea Street),CenturyLink,-,-
Houston,CenturyLink,1370 m²,-
Houston (Empire Central Drive),CenturyLink,-,-
Indianapolis (West 86th Street),CenturyLink,-,-
Jacksonville (West Forsyth Street),CenturyLink,-,-
Jersey City (Evertrust Plaza),CenturyLink,-,-
Kansas City,CenturyLink,-,-
Kansas City,CenturyLink,-,-
Lexington (West Vine Street),CenturyLink,-,-
Little Rock (West Capitol),CenturyLink,-,-
Long Island,CenturyLink,-,-
Los Angeles,CenturyLink,3100 m²,-
Louisville (West Broadway),CenturyLink,-,-
Memphis (Cordova Road),CenturyLink,-,-
Memphis (East Raines Road),CenturyLink,-,-
Miami (Northwest 5th Street),CenturyLink,-,-
Minneapolis (11th Avenue South),CenturyLink,-,-
Mobile (South Royal Street),CenturyLink,-,-
Nashville,CenturyLink,-,-
Newark,CenturyLink,-,-
Oakland,CenturyLink,270 m²,-
Orange County,CenturyLink,-,-
Orlando (Lake Destiny Drive),CenturyLink,380 m²,-
Philadelphia,CenturyLink,-,-
Phoenix (North 3rd Street),CenturyLink,-,-
Phoenix (South 16th Street),CenturyLink,2430 m²,-
Portland (Southwest 6th Avenue),CenturyLink,-,-
Raleigh (Departure Drive),CenturyLink,-,-
