Data Center,Company,White space,Gross power
Elmsford,Equinix,1458 m²,-
Houston 1,Equinix,6000 m²,-
Infomart Dallas,Equinix,48310 m²,50000 kW
Los Angeles 2,Equinix,1284 m²,-
Los Angeles 3,Equinix,7276 m²,-
Los Angeles 4,Equinix,5775 m²,-
Los Angeles 7,Equinix,-,-
Manassas,Equinix,3716 m²,-
Miami 1,Equinix,-,-
Miami 3,Equinix,1765 m²,-
New York 11,Equinix,-,-
New York 12,Equinix,-,-
New York 13,Equinix,-,-
New York 2,Equinix,12174 m²,-
New York 4,Equinix,14100 m²,-
New York 5,Equinix,5789 m²,-
New York 6,Equinix,-,-
New York 7,Equinix,3577 m²,-
Seattle 3,Equinix,1649 m²,-
Seattle 4,Equinix,-,-
Silicon Valley 1,Equinix,7697 m²,-
Silicon Valley 10,Equinix,-,-
Silicon Valley 13,Equinix,-,-
Silicon Valley 15,Equinix,-,-
Silicon Valley 16,Equinix,-,-
Silicon Valley 17,Equinix,-,-
Silicon Valley 3,Equinix,5062 m²,-
Silicon Valley 4,Equinix,6282 m²,-
Silicon Valley 5,Equinix,2689 m²,-
Silicon Valley 6,Equinix,1333 m²,-
Silicon Valley 8,Equinix,2443 m²,-
Washington 1,Equinix,1852 m²,-
Washington 11,Equinix,3978 m²,-
Washington 13,Equinix,-,-
Washington 14,Equinix,-,-
Washington 2,Equinix,11004 m²,-
Washington 4,Equinix,5629 m²,-
Washington 6,Equinix,5516 m²,-
Washington 7,Equinix,2541 m²,-
Washington 8,Equinix,926 m²,-
E-Solutions Tampa,Erron Pettry,-,-
Houston,Evolve Discovery,-,-
ETC-LITH,Excalibur Technology,-,-
Baltimore Owings Mills,Expedient,818 m²,-
Baltimore Tide Point,Expedient,827 m²,-
Boston,Expedient,2395 m²,-
Cleveland Neo 151,Expedient,1254 m²,-
Cleveland Neo 152,Expedient,1254 m²,-
Columbus Upper Arlington,Expedient,864 m²,-
Indianapolis,Expedient,2415 m²,-
Pittsburgh ACM,Expedient,1486 m²,-
Pittsburgh Green Tree,Expedient,1115 m²,-
Herndon,Expert Colocation,-,-
Los Angeles,Expert Colocation,-,-
New York,Expert Colocation,-,-
Reston,Expert Colocation,-,-
Fort Worth,Facebook,-,-
Prineville,Facebook,-,-
Prineville 3,Facebook,-,-
Rutherford,Facebook,-,-
Laconia,"FairPoint Communications, Inc.",-,-
Manchester,"FairPoint Communications, Inc.",-,-
365 Main Street,Fastmetrics,-,-
Data Center 360 Spear Street,Fastmetrics,-,-
FDCservers.net Chicago,FDCservers.net LLC,-,-
LAS1,Fiberhub,-,-
FiberMedia 36 NE 2nd,FiberMedia,-,-
FiberMedia 75 Broad,FiberMedia,-,-
FiberMedia Cleveland,FiberMedia,-,-
FiberMedia Seacaucus,FiberMedia,-,-
FiberMedia Westchester (Chappaqua),FiberMedia,-,-
Fiberpipe,Fiberpipe,-,-
Fibertech Albany,Fibertech,-,-
Fibertech Stamford,Fibertech,-,-
Houston,FIBERTOWN,-,-
CrossPoint Parkway,Fidelis Care,-,-
Fidelity Voice and Data,Fidelity,-,-
Network 222,Fiore Companies,-,-
First National Technology Solutions,First National Technology Solutions,-,-
Garner,"Five 9s Digital, LLC",-,-
Arapahoe,Flexential,1986 m²,2550 kW
Atlanta 1,Flexential,-,-
Austin,Flexential,699 m²,825 kW
Campus View,Flexential,1764 m²,2000 kW
Carson 1,Flexential,1274 m²,2000 kW
Carson 2,Flexential,1274 m²,2000 kW
Champa,Flexential,704 m²,1275 kW
Charlotte 1,Flexential,-,-
Cincinnati,Flexential,4046 m²,-
Cornell,Flexential,9594 m²,15000 kW
Delong,Flexential,3102 m²,3500 kW
Fort Lauderdale,Flexential,9777 m²,15786 kW
Hillsboro Data Center Complex,Flexential,4660 m²,3960 kW
Jacksonville,Flexential,3269 m²,5278 kW
Lone Mountain,Flexential,6132 m²,9000 kW
Louisville,Flexential,-,-
Nashville 1,Flexential,-,-
Presidents,Flexential,707 m²,1000 kW
Raleigh,Flexential,9288 m²,14996 kW
Richmond,Flexential,3482 m²,5621 kW
Synergy Park,Flexential,4724 m²,9000 kW
Tampa,Flexential,-,-
Wazee,Flexential,609 m²,900 kW
Carrollton,Fogo Data Centers,-,-
Fogo Data Center Solutions,Fogo Data Centers,-,-
Fogo Data Centers - New Orleans,Fogo Data Centers,-,-
Intergate West,Fortress Colocation Centers,-,-
San Francisco,Fortress Data Centers,-,-
Hillsboro,Fortune Data Centers,-,-
Silicon Valley,Fortune Data Centers,-,-
400 S. Akard,Freeman Group,-,-
Fort Collins,Front Range Internet,-,-
Frontline Data Services Data Center,Frontline Data Services,-,-
Westover Data Center,Frost Bank,-,-
New York,Fujitsu Global,-,-
Miami,Future Hosting,-,-
G4 Colo Center,G4 Communications,-,-
The ColoHub Data Center,Geneseo Communications,-,-
NZ$10.5m,Gen-i,-,-
Ashburn,Gigenet,-,-
GIPNetworks Plano,GIPNetworks,-,-
Digital Enterprise Center,Global Access Point,-,-
GAP Indy Data Center,Global Access Point,-,-
Union Station,Global Access Point,-,-
Global Dataplex Lansing,Global Dataplex,-,-
Atlanta - DC1,Global-Enterprise,-,-
Atlanta - DC2,Global-Enterprise,-,-
Phoenix,GoDaddy,-,-
1300 Federal Boulevard,Goldman Sachs,-,-
Berkeley County,Google,-,-
Council Bluffs,Google,-,-
Douglas County,Google,-,-
Lenoir,Google,-,30000 kW
Mayes County,Google,-,-
The Dalles,Google,9000 m²,15000 kW
GoRACK Data Center,Gorack,-,-
449 Route,Gotham Bus,-,-
Fall River,Granite Block Global Data Center Inc.,-,-
Kanata,Granite Networks,1300 m²,2000 kW
Lake Park,Great Lakes Communication Corporation (GLCC),-,-
Rockville,Greencourt Group,-,-
Warren,Griffin Capital Essential Asset REIT,-,-
14520 NE 87th St,Griffin Capital Net Lease REIT,-,-
Telecom Center LA,Grubb & Ellis,-,-
Houston,GTL,-,-
Phoenix,H5 Data Center,5574 m²,30000 kW
Hamilton Managed Hosting- Aurora,Hamilton Managed Hosting&Colocation,-,-
Handy Networks Denver,Handy Networks,-,-
Herakles,Herakles Data Center,-,-
Atlanta (Alpharetta),Hewlett Packard (HP),-,-
Atlanta (Suwanee),Hewlett Packard (HP),-,-
Austin 1,Hewlett Packard (HP),-,-
Austin 2,Hewlett Packard (HP),-,-
Clarksville,Hewlett Packard (HP),-,-
Colorado Springs,Hewlett Packard (HP),-,-
Houston 1,Hewlett Packard (HP),-,-
Houston 2,Hewlett Packard (HP),-,-
Chad D. Morris,HFT Technologies,-,-
Lynn CLS,Hibernia Atlantic,-,-
Dallas Data Center,High Touch Technologies,-,-
Fisher Plaza Seattle,Hines Global REIT,-,-
Dallas 1,Horizon Data Center Solutions,-,-
Dallas 2,Horizon Data Center Solutions,-,-
Dallas 3,Horizon Data Center Solutions,-,-
Broadband One,Host.net,-,-
Host.net Delray Beach,Host.net,-,-
Host.net Ft. Lauderdale (formerly Hostway),Host.net,-,-
HostDime Orlando,Hostdime.com,-,-
Denver,Hosting,-,-
Louisville,Hosting,-,-
Newark,Hosting,-,-
710 Tucker St Louis,Hostirian,-,-
Bandwidth Exchange Building,Hostirian,-,-
Borman Data Center,Hostirian,-,-
HostMySite,HostMySite,-,-
Hostway Boeing Data Center,Hostway,-,-
Hostway Tampa,Hostway,-,-
Hot Site Data Center- Cincinnati,Hot Site Data Center,-,-
Subtropolis,Hunt Midwest,-,-
Fremont 1,Hurricane Electric,3000 m²,-
Fremont 2,Hurricane Electric,18500 m²,-
San Jose (Silicon Valley),Hurricane Electric,250 m²,-
IC2NET Tustin Data Center,IC2NET,1115 m²,-
iConnect Billings,iConnect Montana,-,-
iConnect Bozeman,iConnect Montana,-,-
iConnect Helena,iConnect Montana,-,-
iConnect Missoula,iConnect Montana,-,-
I-Evolve Data Center,I-Evolve,-,-
IgLou Colocation,IgLou Internet Services Inc.,-,-
Columbia,Immedion,465 m²,-
Downtown Cincinnati,Immedion,1246 m²,-
Greenville,Immedion,975 m²,-
Rock Hill,Immedion,297 m²,-
Goleta,Impulse Advanced Communications,-,-
Santa Barbara,Impulse Advanced Communications,-,-
Atlanta,INAP (Internap Corporation),3700 m²,-
Boston 1,INAP (Internap Corporation),6500 m²,-
Boston 2,INAP (Internap Corporation),4200 m²,-
Chicago ,INAP (Internap Corporation),-,-
Dallas,INAP (Internap Corporation),6000 m²,12000 kW
Houston,INAP (Internap Corporation),3800 m²,-
Los Angeles,INAP (Internap Corporation),9300 m²,5000 kW
Manhattan,INAP (Internap Corporation),-,-
New York,INAP (Internap Corporation),4000 m²,-
Santa Clara,INAP (Internap Corporation),3000 m²,-
Seattle 1,INAP (Internap Corporation),3300 m²,-
Seattle 2,INAP (Internap Corporation),5900 m²,-
Indiana Data center,Indiana Data Center,-,-
Boston,InetServices,-,-
Chicago,InetServices,-,-
Santa Clara,InetServices,-,-
Boston,Infinitely Virtual,-,-
Infinity Data Center,"Infinity Hosting Solutions, LLC",-,-
Infinity Internet,Infinity Internet Inc.,-,-
InfoBunker,InfoBunker,-,-
Dulles Exchange,"InfoRelay Online Systems, Inc.",-,-
Reston,"InfoRelay Online Systems, Inc.",-,-
Iowa Data Center,Infrastructure Technology Solutions,-,-
Neutral Tandem,Inteliquent,-,-
Intero Systems- Pheonix Parkway,Intero Systems,-,-
InterServer- New Jersey,InterServer,-,-
Akron,Involta,-,-
Boise,Involta,-,-
Boise 2,Involta,929 m²,-
Duluth,Involta,-,-
Marion,Involta,929 m²,-
Tucson,Involta,-,-
Youngstown,Involta,-,-
Hillsboro,iovation,-,-
Westown Communications Center,Iowa Network Services,-,-
Urbandale,IP Pathways,-,-
ipHouse Data Center,IpHouse,-,-
IPR Reading BCC,IPR International,-,-
IPR Wilmington CCC,IPR International,-,-
IRIS - Nashville,IRIS,-,-
IRIS - Nashville,iRis Networks,-,-
Denver,Iron Mountain,19000 m²,34 kW
New Jersey,Iron Mountain,19788 m²,48000 kW
"ISafeTECH Syracuse, NY",ISafeTECH,-,-
Iserv Company,Iserv,-,-
Isocentric Data Center (IDC),Isocentric Networks,-,-
IStreet Solutions Vernon,IStreet Solutions,-,-
ixColo Buffalo,ixColo,-,-
JMA Wired San Francisco,JMA Ventures,-,-
JMA NAC Los Angeles,JMA Wired,-,-
Joes Datacenter,Joes Datacenter,-,-
Philcade Data Center,Kanbar Properties KPM,-,-
Kanobe Bothell,Kanobe,-,-
iGlass Calgary,Katalyst,-,-
iGlass Houston,Katalyst,-,-
KDWEB San Jose,KDweb,-,-
IS West (Agoura Ct),keyinfo,-,-
IS West (Canwood),keyinfo,-,-
KeySpan Brentwood NY POP,KeySpan Communications,-,-
Pennsylvania,Keystone NAP,-,-
US Bank Building,Kiemle & Hagood,-,-
545 Washington Boulevard,Knight Capital Group,-,-
Denver,Latisys,-,-
Denver 2,Latisys,-,-
Latisys CHI2,Latisys,-,-
Latisys-Ashburn,Latisys,-,-
Latisys-Chicago,Latisys,-,-
Latisys-Irvine,Latisys,-,-
Oak Brook,Latisys,-,-
Layer42 Mountain View,Layer42 Networks,-,-
Layer42 Santa Clara,Layer42 Networks,-,-
AirWorld Technology Center,"Layered Technologies, Inc.",-,-
AirWorld Technology Center,"Layered Technologies, Inc.",-,-
Liberty Center One Data Center,Liberty Center One,8000 m²,2500 kW
LightBound - 800 Oliver,Lightbound,-,-
Lightbound Indianapolis,Lightbound,-,-
Portland Data Center,LightPoint Colocation & Hosting,-,-
Liquid Web DC1,Liquid Web,-,-
Liquid Web DC2,Liquid Web,-,-
Boston,LoadSpring Solutions,-,-
San Diego,LoadSpring Solutions,-,-
Login Top-Tier Data Center,"Login, Inc.",-,-
Looking Glass Networks NYC Node,Looking Glass Networks,-,-
Westover Hills,Lowe's,-,-
DC74 (BWI-1),Lumos Data Centers (LDC),-,-
DC74 (CLT-1),Lumos Data Centers (LDC),-,-
DC74 (CLT-2),Lumos Data Centers (LDC),-,-
LasVegas.Net,LV.net,-,-
Amhurst,M&T Bank,-,-
Western New York,M&T Bank,-,-
Phoenix,Mac Mini Vault,-,-
Albany Data Center,Magna5,-,-
Main Place Mall,Main Place Mall,-,-
Mainstream Technologies,"Mainstream Technologies, Inc.",-,-
Covington,Marias Technology,-,-
Lowell,"Markley Boston, LLC.",-,-
One Summer Street Boston,"Markley Boston, LLC.",-,-
Marlin eSolutions,Marlin eSolutions,-,-
MTC,Matrix Telecommunications Corporation,-,-
2020 Live Oak,MCFMAX,-,-
Chicago,McHugh Construction,-,-
McAllen Data Center,MDC (McAllen Data Center),-,-
MegaGate Broadband Data Center,MegaGate Broadband,-,-
565 Metro Place South,Metro Datacenter,-,-
Miami Data Vault,Miami Data Vault,-,-
Boydton Virginia,Microsoft,-,-
Cheyenne,Microsoft,-,-
Laramie - Cheyenne,Microsoft,-,-
Northlake,Microsoft,-,-
Quincy,Microsoft,-,-
Quincy 2,Microsoft,-,-
San Antonio,Microsoft,-,-
West Des Moines 3,Microsoft,-,-
Westover Hills 2,Microsoft,-,-
MIDCON Recovery Solutions,MIDCON Inc.,-,-
MindSHIFT Commack,MindSHIFT,-,-
Las Vegas,Mohave Community College,-,-
Phoenix,Mohave Community College,-,-
Evergreen,MontanaSky Networks,-,-
NASA Moffet Field,NASA Integrated Services Network,-,-
Langley,NASA space agency,-,-
1400 Federal Boulevard,NASDAQ,-,-
NASPlex Data Center,NASPlex,-,-
Camp Williams,National Security Agency NSA,-,-
High Performance Computing Center 2,National Security Agency NSA,-,-
NationalNet,"NationalNet, Inc.",-,-
Nationwide Internet,Nationwide,-,-
Shiprock,Navajo Tribal Utility Authority,-,-
Andover,Navisite,4831 m²,6000 kW
New York,Navisite,1765 m²,850 kW
Oak Brook,Navisite,660 m²,750 kW
Syracuse,Navisite,768 m²,750 kW
Rockledge,ndtArtemis,-,-
Lincoln,Nebraska Colocation Centers,-,-
1623 Farnam,Nebraska Data Centers,5100 m²,-
Dallas Texas Data Center,"Negma Business Solutions, Inc",-,-
Englewood Colorado Data Center,"Negma Business Solutions, Inc",-,-
Richmond,NephoScale,-,-
Net Access - Cedar Knolls I,Net Access Corporation,-,-
Net Access - Parsippany I,Net Access Corporation,-,-
Net Access - Parsippany II,Net Access Corporation,-,-
EWR1,Net2EZ,-,-
IAD1,Net2EZ,-,-
IAD3,Net2EZ,-,-
IAD4,Net2EZ,-,-
LAX1,Net2EZ,-,-
LAX4,Net2EZ,-,-
Triangle Research Park,NetApp,-,-
Jackson,Netdoor,-,-
Asheville 1,Netriplex,-,-
Netriver,NetRiver,-,-
Oak Tower DC,Netsolus,-,-
NetSource Data Center,NetSource,-,-
SSAE 16 Compliant Data Center,NetStandard,-,-
North Miami,netTALK,-,-
Waltham Data Center,New England Data Services,-,-
Wall,New Jersey Fiber Exchange (NJFX),-,-
Datacenter 1,New York Internet,-,-
Datacenter 2,New York Internet,-,-
New Jersey 1,New York Internet,-,-
Downtown Los Angeles Data Center,Newmark Grubb Knight Frank NGKF,-,-
Westover Hills Data Center,Newmark Grubb Knight Frank NGKF,-,-
Dearborn,Nexcess,-,-
Southfield,Nexcess,-,-
NFrame,nFrame,-,-
NGenX - Evansville,NGenX,-,-
NGenX - Indianapolis,NGenX,-,-
NGenx - Lafayette,NGenX,-,-
"NGenX - Louisville, KY",NGenX,-,-
Niobrara Data Center Energy Park,Niobrara NatGas,-,-
Albuquerque,NOVA Corporation,-,-
Fort Worth,Novartis,-,-
San Antonio,Nugget Networks,-,-
NuVox Atlanta,NuVox,-,-
NuVox Nashville,NuVox,-,-
NWI Networks- Newington,nwiNetworks,-,-
Alexandria,NxtVN,-,-
Mahwah New Jersey,NYSE Euronext,-,-
La Vista Nebraska,Oath,-,-
Lockport,Oath,-,-
Lockport 2,Oath,-,-
Quincy,Oath,-,-
OCOSA Data Center,"OCOSA Communication, LLC",-,-
Coeur D'Alene,OneEighty Networks,-,-
Spokane,OneEighty Networks,-,-
Walla Walla,OneEighty Networks,-,-
Bend,OneNeck,1068 m²,-
Cedar Falls,OneNeck,-,-
Denver,OneNeck,-,-
Des Moines,OneNeck,1486 m²,-
Madison,OneNeck,3901 m²,-
Minneapolis,OneNeck,-,-
Phoenix 1,OneNeck,-,-
Phoenix 2,OneNeck,-,-
Somerset,OneNeck,-,-
Ann Arbor 2 (Data Court),Online Tech,929 m²,-
Mid Michigan (Exchange Drive),Online Tech,2090 m²,4000 kW
Ontario Datacenter,Ontario Datacenter,-,-
Optiquest Datacenter,Optiquest,-,-
Austin,Oracle,-,-
"OrbitCom, Inc. - Coeur d'Alene","OrbitCom, Inc.",-,-
Oso Secure,OSO Technologies,-,-
Brunswick Landing,Oxford Networks,-,-
Albuquerque,Pacific Office Auromation,-,-
Las Vegas,Pair Networks,-,-
Parsec Data Center,Parsec Data Management,-,-
Patrick Solutions,Patrick Solutions,-,-
Frisco,Patronus Data Centers,9290 m²,-
Bemidji,Paul Bunyan Communications,-,-
PCI Data Center,PCI,-,-
New Albany,PCM,-,-
Chattanooga,Peace Communications,-,-
Hershey,Penn State,-,-
University Park,Penn State,-,-
Perimeter Technology Oklahoma City #1,Perimeter Technology,-,-
Perimeter Technology Oklahoma City #2,Perimeter Technology,-,-
Perimeter Technology Tulsa,Perimeter Technology,-,-
Data Center Services Philadelphia,Philadelphia Technology Park,-,-
Phoenix NAP,Phoenix NAP,-,-
Pittock Internet Exchange,Pittock Internet Exchange,-,-
Hanover County,Pixel Factory Data Center,-,-
StoweVT,Power Shift,-,-
Printer's Square Chicago (600 S Federal),Printers Square,-,-
PRISM Technologies,PRISM Technologies,-,-
Rhode Island,Prov.net,-,-
Los Angeles,Psychz Networks,-,-
Sheridan,Ptolemy Data Systems,-,-
Pugmarks,Pugmarks,-,-
QuadraNet LA,QuadraNet,-,-
Atlanta Metro,Quality Technology Services (QTS),49331 m²,100000 kW
Irving,Quality Technology Services (QTS),27128 m²,120000 kW
Jersey City,Quality Technology Services (QTS),4738 m²,-
Miami,Quality Technology Services (QTS),1858 m²,1700 kW
Overland Park,Quality Technology Services (QTS),232 m²,-
Sacramento,Quality Technology Services (QTS),4274 m²,9000 kW
Santa Clara 1,Quality Technology Services (QTS),3716 m²,-
Santa Clara 2,Quality Technology Services (QTS),1394 m²,-
Suwanee,Quality Technology Services (QTS),17187 m²,-
Quasar Data Center,Quasar Data Center,-,-
McClellan BRC,Quest,-,-
Detroit,Quicken Loans,-,-
Quonix Networks,Quonix Networks Inc.,-,-
RACK59 Data Center,RACK59,3500 m²,25000 kW
Dallas,Rackspace,-,-
Sacramento 1,RagingWire,11612 m²,-
Sacramento 2,RagingWire,11612 m²,-
Razor Data Center,Razor Servers,-,-
RCN Metro 56 Roland,"RCN Telecom Services, LLC",-,-
3500 NW,Real Effects,-,-
Chicago,Realtime Systems Group,-,-
New York,Realtime Systems Group,-,-
840 South Canal Street,Red Sea Group,-,-
12270 World Trade Drive,redIT,-,-
9606 Aero Drive,redIT,-,-
RelyNet Data Center,RelyNet Inc.,-,-
RockyNet Inc. Boulder,RockyNet Inc.,-,-
RockyNet Inc. Denver,RockyNet Inc.,-,-
34 St. Martin Drive,RREEF,-,-
RT 3811,"RT Software Systems, Inc.",-,-
Rubicon Data Centers,Rubicon Data Centers,-,-
The Hub,"Rudin Management Company, Inc.",-,-
Intergate.Manhattan,Sabey Data Centers,278709 m²,18000 kW
Intergate.Quincy,Sabey Data Centers,37904 m²,60000 kW
Intergate.Seattle-East,Sabey Data Centers,111484 m²,77000 kW
Intergate.Seattle-West,Sabey Data Centers,16072 m²,77000 kW
SafeHouse Datacenter,SafeHouse Datacenter,-,-
Sago Networks Atlanta,"SAGO Networks, LLC.",-,-
Sago Networks Tampa,"SAGO Networks, LLC.",-,-
Sargasso Networks,Sargasso Networks Inc.,-,-
San Diego,ScaleMatrix,-,-
Scott Data Center,Scott Technology Center,-,-
Kalamazoo,Secant,-,-
Secured Network Services,Secured Network Services (SNS),-,-
Server Central Chicago,Server Central,-,-
Server Corps,Server Corps,-,-
Chicago,ServerFarm,12449 m²,38000 kW
"Moses Lake, Washington",ServerFarm,12635 m²,24000 kW
"Santa Clara, CA",ServerFarm,1263 m²,-
ServerPhase Data Center,ServerPhase,-,-
ServOnDemand,ServOnDemand,-,-
Shatter I.T.,Shatter I.T.,-,-
Shatter I.T. Buffalo 2,Shatter I.T.,-,-
Lynn,Shore.net,-,-
Cross Connect Solutions,Sidera Networks,-,-
Long Island Fiber - Smithtown,Sidera Networks,-,-
Sierra Data Center,Sierra Data Center,-,-
SVCOLO (Sunnyvale),"Silicon Valley Colocation, Inc.",-,-
SVCOLO Santa Clara,"Silicon Valley Colocation, Inc.",-,-
SVTIX San Jose,Silicon Valley Telecom & Internet Exchange,-,-
SimpleNet Colo,SimpleNet,-,-
Simply Bits Vault,Simply Bits,-,-
Sitco Data Center,Sitco,-,-
Palisades,Skae Power Solutions,-,-
Houston,Skybox Datacenters,-,-
Smart City Data Center,Smart City,-,-
Island of Maui,Smartronix,-,-
SMH Colocation Data Center,SMH Colocation,-,-
Smith and Hammaker,Smith and Hammaker,-,-
The Planet 1700 Summit,SoftLayer Technologies (IBM Cloud),-,-
The Planet 855 Greens Pkwy,SoftLayer Technologies (IBM Cloud),-,-
The Planet Dallas,SoftLayer Technologies (IBM Cloud),-,-
The Planet Houston,SoftLayer Technologies (IBM Cloud),-,-
SolutionPro Boise Idaho,SolutionPro,-,-
Spectra Access Data Center,Spectra Access,-,-
Spirit Telecom Data Center,Spirit Communications,-,-
SpringNet Underground,SpringNet,-,-
Springs Hosting Data Center,Springs Hosting,-,-
Sprint Pennsauken,Sprint,-,-
GlobeOp,SS&C GlobeOp,-,-
Stafford Assoicates Data Center,Stafford Associates,-,-
YourNet Connection,Starpoint Digital,-,-
Richardson,State Farm,-,-
"350 E Cermak Rd, Chicago",Steadfast Networks,100000 m²,-
"725 S. Wells Street, Chicago ",Steadfast Networks,-,-
Dedicated Server Store,STEALTH - ISS® Inc,-,-
South Brunswick,Steel Orca,-,-
SteelVault OX-1,SteelVault,-,-
Park Tower,"Sterling American Property, Inc.",-,-
Stone Mountain Data Complex,Stone Mountain,-,-
Dallas,Storagepipe,-,-
Consonus PDC,StraTech,-,-
Consonus SDC,StraTech,-,-
Consonus WDC,StraTech,-,-
StratITsphere - Alpha,StratITsphere,-,-
StratITsphere - Echo,StratITsphere,-,-
Alpharetta Data Center,Sungard,4274 m²,-
Atlanta Data Center,Sungard,1812 m²,-
Boston BOS-020 data center,Sungard,2326 m²,1920 kW
Boston BOS-70 data center,Sungard,232 m²,450 kW
Carlstadt CRL-410 Data Center,Sungard,8719 m²,-
Carlstadt CRL-760 Data Center,Sungard,3995 m²,-
Carlstadt CRL-777 Data Center,Sungard,15979 m²,-
Chicago CHI-3100 Workgroup,Sungard,84 m²,-
Chicago CHI-341 Data Center,Sungard,2415 m²,400 kW
Chicago CHI-711 Data Center,Sungard,7897 m²,400 kW
Cleveland Workgroup,Sungard,412 m²,-
Cypress Workgroup,Sungard,883 m²,-
Dallas DAL-1001 Data Center,Sungard,3252 m²,6000 kW
Dallas DAL-3001 Workgroup,Sungard,1208 m²,-
Denver DEN-3431 Data Center,Sungard,4181 m²,11000 kW
Denver DEN-550 Data Center,Sungard,1858 m²,-
Detroit Workgroup,Sungard,353 m²,-
Federal Way Workgroup,Sungard,279 m²,-
Houston HOU-12025 Data Center,Sungard,1394 m²,2000 kW
Houston HOU-12175 Data Center,Sungard,1022 m²,2000 kW
Indianapolis Workgroup,Sungard,361 m²,-
Marlborough MA-250 Workgroup,Sungard,2137 m²,420 kW
Marlborough MA-260 Workgroup,Sungard,1394 m²,-
New York City Workgroup,Sungard,2276 m²,-
Orlando Workgroup,Sungard,158 m²,-
Philadelphia PHL-1500 Data Center,Sungard,16588 m²,-
San Ramon Workgroup,Sungard,1394 m²,-
Scottsdale Data Center,Sungard,4181 m²,-
Smyrna Workgroup,Sungard,2230 m²,-
St. Paul Workgroup,Sungard,929 m²,-
SVCOLO Santa Clara,SVCOLO,2866 m²,-
SVCOLO Sunnyvale,SVCOLO,-,-
SVTIX Data Center,SVTIX,-,-
Frederick Data Center I,Swift Systems,-,-
Las Vegas,Switch,-,-
Las Vegas 1-6,Switch,4000 m²,15000 kW
Las Vegas 7,Switch,23000 m²,100000 kW
Synergy Broadband State Street,Synergy Broadband,-,-
3705 Raymond Street,Syptec,-,-
Syptec - Phoenix,Syptec,-,-
Syptec - Salt Lake City,Syptec,-,-
Syptec - Vegas,Syptec,-,-
T5@Atlanta I,T5 Data Centers,5052 m²,-
T5@Atlanta II,T5 Data Centers,6193 m²,-
T5@Charlotte,T5 Data Centers,3484 m²,18000 kW
T5@Dallas I,T5 Data Centers,-,-
TEAM Technologies Data Center,TDS,-,-
TEAM Companies Cedar Falls,TEAM Companies,-,-
TEAM Companies Des Moines,TEAM Companies,-,-
Teamnet Cedar Falls,Teamnet Technologies,-,-
Tech Vault Data Center,"Tech Vault, Inc.",-,-
Las Vegas,Telecom Real Estate Services (TRES),-,-
Miami Keycentre,Telefonica,-,-
Los Angeles Center,Telehouse,-,500 kW
New York Chelsea,Telehouse,5500 m²,3500 kW
Orange County Internet Exchange,Telekenex,-,-
190 Park Center Plaza San Jose,Telepacific,-,-
Telepacific,Telepacific,-,-
TeleSource IDC,TeleSource,-,-
New York,Telia Carrier,-,-
New York,Telix,-,-
New York 2,Telix,-,-
New York 3,Telix,-,-
TelJet Longhaul Data Center,"TelJet Longhaul, LLC",-,-
Tellurian Datacenter,Tellurian,-,-
Southfield,TelNet Worldwide (TelNet),278 m²,-
Chicago,Telstra International,-,-
Los Angeles,Telstra International,-,-
New York,Telstra International,-,-
San Jose,Telstra International,-,-
TeraSwitch Networks - DC1,TeraSwitch Networks,-,-
Culpeper,Terremark,-,-
Miami,Terremark,-,-
Santa Clara,Terremark,-,-
Boise,The Benaroya Company,2694 m²,4500 kW
South Hill Data Center,The Benaroya Company,-,8600 kW
South Hill Data Center 2,The Benaroya Company,-,17500 kW
Maryland,"The Data Centers, LLC (TDC)",-,-
Conway,The Echo Group,-,-
INOC,The Independent Network Operations Consortium (INOC),-,-
The Karcher Group Data Center,The Karcher Group,-,-
Newport Financial Center,The LeFrak Organization,-,-
LIDARC,The Long Island Data and Recovery Center (LIDARC),-,-
Public Square Tech Center,The Morgan Reed Group,-,-
Thornton Colorado Data Center,The Morgan Reed Group,-,-
274 Brannan Street,The Swig Company,-,-
Albany,The University of Albany,-,-
Maryland,The US Social Security Administration (SSA),-,-
National Support Center (NSC),The US Social Security Administration (SSA),-,-
Westin Building Seattle,The Westin Building,-,-
The Franklin Exchange Tampa,The Wilson Company,-,-
800 South Hope,Thomas Properties Group,-,-
Charlotte-Rose Lake,TierPoint,-,-
Dallas,TierPoint,6317 m²,11100 kW
Oklahoma City 1,TierPoint,1357 m²,2600 kW
Raleigh-RTP,TierPoint,929 m²,2500 kW
Spokane,TierPoint,2880 m²,8800 kW
NDC West,Time Warner Cable,-,-
New York City datacenter,Time Warner Cable Business Class,-,-
165 Halsey Meet-Me Room,Tishman Real Estate Services,-,-
165 Halsey Street,Tishman Real Estate Services,-,-
Tonaquint Data Center,Tonaquint Data Center,-,-
Salt Lake City,Total Server Solutions LLC,-,-
Seattle,Total Server Solutions LLC,-,-
324 E Wisconsin,Towne Investments,-,-
Philadelphia,"Transbeam, Inc.",-,-
Transtelco El Paso,Transtelco,-,-
200 Technology Center,Transwestern,-,-
Norcross,Travelers Insurance Group,-,-
Sarpy County,Travelers Insurance Group,-,-
Travelport Data Center,Travelport,-,-
TulsaConnect (DC1) Oklahoma,TulsaConnect,-,-
TulsaConnect (DC2) Oklahoma,TulsaConnect,-,-
TulsaConnect (DC3) Oklahoma,TulsaConnect,-,-
Tyler Vault.com Data Center,Tyler Vault.com,-,-
