,Data Center,Company,Address,City,State,lat,lon,White space,Gross power
587,Houston I - The Woodlands,Stream Data Centers,4001 Technology Forest Blvd,The Woodlands,Texas,30.1734194,-95.504686,,
588,INAP Houston,INAP,1301 Fannin St,Houston,Texas,29.7589382,-95.3676974,,
589,LOGIX FIBER NETWORKS Houston #2,LOGIX FIBER NETWORKS,811 Louisiana (Downtown),Houston,Texas,29.7589382,-95.3676974,,
590,LOGIX FIBER NETWORKS Houston #3,LOGIX FIBER NETWORKS,4635 Southwest Freeway,Houston,Texas,29.7589382,-95.3676974,,
591,LOGIX FIBER NETWORKS KATY #1,LOGIX FIBER NETWORKS,"1510 Primewest Parkway, Energy Corridor",Katy,Texas,29.7857853,-95.8243956,,
592,Lumen Houston 1,Lumen,12001 1-45 North,Houston,Texas,29.7589382,-95.3676974,,
593,Lumen Houston 3,Lumen,2300 Lyons Avenue,Houston,Texas,29.7589382,-95.3676974,,
594,"Lumen, 1124 Hardy Rd",Lumen,1124 Hardy Rd,Houston,Texas,29.7589382,-95.3676974,,
595,"Lumen, 3939 Corporate Dr",Lumen,5959 Coprporate Drive,Houston,Texas,29.7589382,-95.3676974,,
596,NaviSite Houston,"NaviSite, Inc.",1301 Fannin Street,Houston,Texas,29.7589382,-95.3676974,,
597,Netrality Properties - 1301 Fannin,Netrality,1301 Fannin Street,Houston,Texas,29.7589382,-95.3676974,,
598,Netrality Properties - 1301 Fannin,Netrality,1301 Fannin Street,Houston,Texas,29.7589382,-95.3676974,,
599,Quasar Data Center,Quasar Data Center,1001 Texas St. 310,Houston,Texas,29.7589382,-95.3676974,,
600,SoftLayer - HOU00,SoftLayer,"835 Greens Parkway, Suite 150",Houston,Texas,29.7589382,-95.3676974,,
601,SoftLayer - HOU01,SoftLayer,390 Benmar Drive,Houston,Texas,29.7589382,-95.3676974,,
602,SoftLayer - HOU02,SoftLayer,855 Greens Parkway,Houston,Texas,29.7589382,-95.3676974,,
603,SoftLayer - HOU04,SoftLayer,315 Capitol St,Houston,Texas,29.7589382,-95.3676974,,
604,Southern Union Data Center,Southern Union,7210 Ardmore,Houston,Texas,29.7589382,-95.3676974,,
605,StratITsphere - Alpha,StratITsphere,1510 Primewest Parkway,Katy,Texas,29.7857853,-95.8243956,,
